,source_file,unmutated_binary,binary_path,return_code,program_input,program_stdout,target,expected_stdout,expected_returncode,custom_returncodes,nopped_addr,mutation,source_code
26,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x118e,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4494,nop,
27,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1180,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4480,nop,
28,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1191,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4497,nop,
29,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1194,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4500,nop,
30,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1198,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4504,nop,
31,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x119c,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4508,nop,
32,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x119f,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4511,nop,
33,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x11a2,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4514,nop,
34,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x11a4,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4516,nop,
35,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x11ab,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4523,nop,
